Job running on tron01.umiacs.umd.edu
4018
3200
Resumed from epoch 500
Epoch [608/2000], Loss: 0.0308, LR: 0.000122
Epoch [609/2000], Loss: 0.0307, LR: 0.000122
Epoch [610/2000], Loss: 0.0290, LR: 0.000122
Epoch [611/2000], Loss: 0.0303, LR: 0.000122
Epoch [612/2000], Loss: 0.0297, LR: 0.000122
Epoch [613/2000], Loss: 0.0300, LR: 0.000123
Epoch [614/2000], Loss: 0.0330, LR: 0.000123
Epoch [615/2000], Loss: 0.0285, LR: 0.000123
Epoch [616/2000], Loss: 0.0310, LR: 0.000123
Epoch [617/2000], Loss: 0.0309, LR: 0.000123
Epoch [618/2000], Loss: 0.0302, LR: 0.000124
Epoch [619/2000], Loss: 0.0298, LR: 0.000124
Epoch [620/2000], Loss: 0.0308, LR: 0.000124
Epoch [621/2000], Loss: 0.0298, LR: 0.000124
Epoch [622/2000], Loss: 0.0300, LR: 0.000124
Epoch [623/2000], Loss: 0.0309, LR: 0.000125
Epoch [624/2000], Loss: 0.0309, LR: 0.000125
Epoch [625/2000], Loss: 0.0284, LR: 0.000125
Epoch [626/2000], Loss: 0.0311, LR: 0.000125
Epoch [627/2000], Loss: 0.0300, LR: 0.000125
Epoch [628/2000], Loss: 0.0278, LR: 0.000126
Epoch [629/2000], Loss: 0.0288, LR: 0.000126
Epoch [630/2000], Loss: 0.0293, LR: 0.000126
Epoch [631/2000], Loss: 0.0298, LR: 0.000126
Epoch [632/2000], Loss: 0.0297, LR: 0.000126
Epoch [633/2000], Loss: 0.0297, LR: 0.000127
Epoch [634/2000], Loss: 0.0310, LR: 0.000127
Epoch [635/2000], Loss: 0.0497, LR: 0.000127
Epoch [636/2000], Loss: 0.0321, LR: 0.000127
Epoch [637/2000], Loss: 0.0313, LR: 0.000127
Epoch [638/2000], Loss: 0.0310, LR: 0.000128
Epoch [639/2000], Loss: 0.0309, LR: 0.000128
Epoch [640/2000], Loss: 0.0293, LR: 0.000128
Epoch [641/2000], Loss: 0.0294, LR: 0.000128
Epoch [642/2000], Loss: 0.0294, LR: 0.000128
Epoch [643/2000], Loss: 0.0277, LR: 0.000129
Epoch [644/2000], Loss: 0.0303, LR: 0.000129
Epoch [645/2000], Loss: 0.0295, LR: 0.000129
Epoch [646/2000], Loss: 0.0269, LR: 0.000129
Epoch [647/2000], Loss: 0.0296, LR: 0.000129
Epoch [648/2000], Loss: 0.0291, LR: 0.000130
Epoch [649/2000], Loss: 0.0279, LR: 0.000130
Epoch [650/2000], Loss: 0.0287, LR: 0.000130
Epoch [651/2000], Loss: 0.0290, LR: 0.000130
Epoch [652/2000], Loss: 0.0299, LR: 0.000130
Epoch [653/2000], Loss: 0.0286, LR: 0.000131
Epoch [654/2000], Loss: 0.0282, LR: 0.000131
Epoch [655/2000], Loss: 0.0282, LR: 0.000131
